composition
rule of thirds
leading lines
symmetry
asymmetry
framing
depth of field
negative space
centered composition
diagonal lines
foreground interest
background interest
high angle
low angle
wide angle
close-up
over-the-shoulder shot
silhouette
reflections
motion blur
bokeh
tilted frame
panoramic view
birds-eye view
worms-eye view
extreme close-up
long shot
medium shot
full shot
medium close-up
two-shot
point of view shot
cut-in
cutaway
insert shot
aerial shot
establishing shot
macro shot
split screen
